3d_model_name,hand_position,hand_orientation,finger_dofs,contacts_number,contacts_position,contacts_orientation,grasps_epsilon_quality,grasps_volume_quality,grasps_energy_quality,mass,inertia_matrix,max_ball_radius
m1001_125,"[[0.04849360814654432, -0.016210392016621004, 0.18106264908382558]]","[[0.2626638976797813, -0.16741141068468696, -0.7478183180594561, 0.5863009974432543]]","[[0.0, 1.2811945164227945, 1.2811945164227945, 1.2811945164227945]]",[28],"[[[0.0015391528390486958, -0.04036335590303194, 0.26759904519138455], [0.007536626280042336, -0.05273848072740405, 0.25736148137657544], [0.0015162223571623546, -0.039645998243915466, 0.2640978587907083], [0.0016240146324119093, -0.04258941675360722, 0.25969767901984114], [0.059281383303210776, -0.010368310933226679, 0.26087055047525765], [0.008466014516274677, 0.0015762171077900692, 0.2703420584058764], [0.006593701283106251, -0.006151034284381948, 0.27174772249717183], [0.0059434367000880005, -0.009622917051001347, 0.2705083193050418], [0.02243472911405996, -0.002201368836285881, 0.28301322119659644], [0.010085143895798862, 0.008958406942676762, 0.27122078468657584], [0.007944339780809731, 0.0012816535734358992, 0.27341067906570476], [0.00891084394927425, 0.006760354290361899, 0.27394224840864817], [0.01732459974854827, 0.0022125626878189628, 0.2685563014221172], [0.014596515033293102, 0.006921022746945556, 0.2695391732463855], [0.017442633983305315, 0.0052590896674796035, 0.26917976585899855], [0.02567464667175635, 0.001821256731294131, 0.2684207599895957], [0.02261590860024245, 0.00525345209880622, 0.28443432840203925], [0.023491838367851122, 0.007497764728879936, 0.2726391068031636], [0.018802552836556068, 0.006485261168116963, 0.28177333158600454], [-0.034931813365826334, -0.010005076027588699, 0.2053033776360852], [-0.035256086933616655, -0.023695252898027687, 0.24086645500801807], [-0.03423917286205472, -0.01767176979295504, 0.24192169117412976], [-0.02192087259184722, -0.006045986652385286, 0.252149215877418], [-0.02031119978485206, -0.008557446155507608, 0.2528199740846326], [-0.022125050417544857, -0.011312626335703183, 0.2531759663093195], [-0.021347550628864096, -0.018328717943912123, 0.23335108350965714], [-0.01887681409374951, -0.025019917938887037, 0.2478197420262517], [-0.019385645698373262, -0.012780133923278885, 0.2519950351125039]]]","[[[0.7032975508915291, -0.0500812408894073, 0.7030539151974333, -0.09262621954130779], [-0.7622053732191618, -0.6394181328086814, -0.06233485527976089, 0.07938379109458525], [0.7080383401510342, -0.09881133681386284, 0.6978720924161181, -0.04350369202694049], [-0.3157799857166321, 0.3156532489792162, 0.6976610954195781, -0.560281199905568], [-0.6802713867218952, -0.7186315618398635, 0.06333286370955643, 0.12957031723899948], [-0.3470111424721537, 0.4553343663073449, 0.6131546305286476, -0.5443301212691953], [0.14101692523987933, -0.5795776171652884, 0.4944423301969435, -0.632242670646575], [-0.582926666255683, -0.5084110241147386, 0.4946945860325367, -0.3962221584878053], [0.7649993871125086, 0.6359777118563711, 0.09095896200608201, -0.04510825833699728], [-0.6842720242747955, -0.5543260159631562, 0.3310993283305046, 0.33892137672383144], [-0.00946062850880003, 0.6923145014024406, 0.1322533064883897, -0.7093096577511101], [-0.009616588341177679, 0.692099819188716, 0.13453818095207642, -0.7090873284537874], [-0.7622053732191666, -0.6394181328086809, -0.06233485527976724, 0.07938379109454076], [-0.7622053732191801, -0.6394181328086723, -0.062334855279854495, 0.0793837910944113], [-0.0623348552797679, -0.0793837910945347, 0.7622053732191673, -0.6394181328086808], [-0.062334855279775336, -0.07938379109457455, 0.7622053732191633, -0.6394181328086799], [-0.1888311403677227, -0.13020091971468536, 0.7537419446720645, -0.6158438128087754], [0.49486590671536096, 0.3960256775273498, 0.5830601677593403, -0.508244269896117], [-0.6364910741946903, -0.5756268294626545, -0.3310923156940393, 0.3923145984559075], [-0.8066004962999669, -0.005255132453491018, -0.4253905729918208, 0.41037895092369686], [0.19419977371406902, -0.8323676461304186, 0.5189996450965925, -0.009482507807644426], [-0.49123862915966077, 0.6727485135455231, -0.36697173566228486, 0.4140359790750515], [0.05333838391069906, -0.7716387846083288, 0.6144358563558139, 0.15555443199817168], [0.0076365739705694935, -0.9683854007258441, 0.19980383570433666, 0.14916375443408755], [0.1477043599910894, -0.11115887557167844, 0.980103556503459, 0.07227824673118244], [-0.3967844393868414, -0.4356580298263447, 0.47216868150602487, 0.6556072955002559], [-0.11791767194498526, -0.2761219662733287, 0.6392019067045541, 0.7080063593285645], [0.4687914145165991, -0.882931217452497, -0.003410063127296442, -0.025601687304655923]]]",[0.045094260780882245],[0.007594253939997582],[-0.5917618894842549],1270.0,"[[226581.51842614272, -7838.9072069973845, 15224.959013631254], [-7838.9072069973845, 138860.54376935147, 12955.842492580825], [15224.959013631254, 12955.842492580825, 244192.5795184413]]",158.66262480593645
m1003_125,"[[0.0729584208681668, 0.10007213000055981, 0.28705814356235365]]","[[0.7828899024198251, -0.4367807896307611, -0.014369194335470644, 0.44283119667967724]]","[[1.6914189895722738, 1.3587105617354185, 1.3587105617354185, 1.3587105617354185]]",[9],"[[[0.06860659941144995, -0.0011565885886225544, 0.26116716221292713], [0.04210690591059249, 0.033457692684170204, 0.218705088438547], [0.045849332762640554, 0.048156082556863725, 0.20891967174045095], [0.03919377172574308, 0.04654437694908439, 0.21045048560597887], [0.05236106713524826, 0.059200569783650854, 0.2123137292254186], [0.05949338117275887, 0.03583580335702329, 0.21866884594681144], [0.059490318361804496, 0.06233356135007344, 0.20621073164522477], [0.05951549898666691, 0.053859817087247006, 0.20434340303415202], [0.05668848589025693, 0.04146898459092718, 0.22951187084532187]]]","[[[0.08014323585492604, -0.3254439204159183, -0.7693319661627313, 0.5438673020610867], [-0.20631928180332884, -0.8413186814204155, -0.30856155829811605, -0.392944009993549], [-0.5017706370169763, -0.7399533782899256, -0.15213831636417716, 0.4213658250010053], [-0.41636011752132673, -0.8529240673874467, 0.2812351592507279, -0.1416741790521441], [-0.45291637810858076, -0.6906789536743778, -0.14749239547273213, 0.5441280462078638], [-0.4529163781085726, -0.6906789536743922, -0.14749239547270843, 0.5441280462078585], [-0.4529163781085271, -0.690678953674303, -0.14749239547276186, 0.5441280462079954], [-0.33455788566496814, -0.7016031029048938, 0.44971266836269846, -0.4399802530201927], [0.3024643621415207, 0.796454031098231, -0.3148166282115116, 0.4184098189374102]]]",[0.055675568948249154],[0.007654327507979558],[-0.5417470156646562],3609.0,"[[885853.2961860817, -32969.46473417525, -8644.420013471215], [-32969.46473417525, 800017.9643214232, -5109.780209037528], [-8644.420013471215, -5109.780209037528, 892578.8044507438]]",142.01966215776656
m1015_125,"[[0.001562393839487466, -0.07271850195056487, 0.13156229680285372]]","[[-0.004261412767136104, -0.010046829037147886, 0.0063876947341767005, 0.9999200462754557]]","[[0.7630230264893901, 0.9915297227101443, 0.9540297227101442, 0.9634047227101442]]",[4],"[[[0.047246882695291634, -0.03023879445457591, 0.23463145905671748], [-0.057272415882126664, -0.03309805641743594, 0.23308033245456017], [-0.052414642293328914, -0.028331842647883628, 0.23313820673350336], [0.011618385498165577, -0.12074208718413669, 0.2350897297131935]]]","[[[0.6549842619604779, -0.2627193615097383, 0.26900012296055353, -0.6554487680354665], [0.6235325163670511, 0.25819708333652797, -0.2764892896251528, -0.6841747875448653], [0.6281819379486986, 0.2551440560255288, -0.27379222594834784, -0.6821486498704723], [-0.009613631596742805, -0.7070414260052391, 0.7070414260052393, -0.009613631596742812]]]",[0.07224408263977838],[0.0031188733843073423],[-1.0313503623091451],102.0,"[[3632.874571990505, -13.028227541907638, -69.43483079185388], [-13.028227541907638, 1348.8831364025623, 21.942536045433968], [-69.43483079185388, 21.942536045433968, 3702.487683140661]]",138.1872202276474
m1020_125,"[[-0.005340529197242438, 0.08960025190070832, 0.3604127167127081]]","[[0.1825475497182052, -0.881150163976041, 0.4171233571237324, 0.1275103351054449]]","[[0.0, 1.1842529763991578, 1.1842529763991578, 1.1842529763991578]]",[12],"[[[-0.00617758076765906, 0.034694889651179756, 0.276661372330879], [-0.0015948138693112881, 0.055397906762075594, 0.2716334798447117], [-0.011899534491631487, 0.04284919286700201, 0.27754571366197417], [-0.008419206135926036, 0.05816020965352952, 0.2737926318693014], [-0.0031338510858554005, 0.03854804132330626, 0.2748918080128842], [-0.025948868235531733, 0.06711738194664357, 0.2624928241279944], [0.0014291501372663148, 0.031205137288304038, 0.267344985629936], [0.024221083799114536, 0.012799482209655995, 0.36238257710651933], [0.02398197943473724, 0.03139407603457666, 0.3724317572063215], [0.01981453669096568, -0.005125085192322441, 0.335939311453732], [0.0184027088970615, 0.00010368629216531388, 0.3355522563482503], [0.026129910755714903, 0.008994215163264655, 0.35909414033532105]]]","[[[-0.12061680408416187, 0.9734991948462508, -0.05212316343889778, -0.18717392991372064], [-0.12061680408416381, 0.9734991948462497, -0.05212316343890905, -0.18717392991372248], [0.052123166756432734, -0.18717387405397876, -0.12061680895186552, -0.9734992048056206], [0.05212316343886497, -0.18717392991372064, -0.12061680408415595, -0.9734991948462534], [0.052123163438854814, -0.18717392991371767, -0.12061680408415426, -0.9734991948462546], [-0.12218141930861665, 0.820714505924989, 0.0484080526495102, 0.5560180401558168], [0.5461015131053456, 0.4795561970707205, 0.3067716953429118, -0.6145649828712632], [0.10395246770905521, -0.7124473265264744, -0.45565351190149384, -0.5234429944839386], [-0.082324048879117, -0.8256653985944447, -0.18296984873679306, -0.5272773795577247], [-0.3662320323165227, -0.7511901553691351, -0.5287861238309215, -0.14823185968500063], [0.4303253655304766, -0.3554145190072163, -0.4993930490806369, 0.6626516294327477], [0.32586895927907145, -0.476625911809889, -0.5730444975494853, 0.5815988010630909]]]",[0.05708771067764763],[0.020041661835492084],[-0.3164886356969943],2096.0,"[[931119.5315927989, 37828.00924805151, 3632.7114498925225], [37828.00924805151, 1161683.6357920899, 60696.13513436018], [3632.7114498925225, 60696.13513436018, 1115205.7037917667]]",163.02359176379014
m1025_125,"[[0.042657785802086574, 0.011049957948213826, 0.13460132610040762]]","[[0.18071985000823904, -0.05630209919554301, -0.9768601980147463, 0.0995718985144174]]","[[0.0, 1.0713088731731457, 1.0713088731731457, 1.0713088731731457]]",[10],"[[[-0.0212925740965332, -0.027007774503057337, 0.22292052068481222], [0.01102658346279884, -0.03785917235575833, 0.2105313087706923], [0.08158627461329193, -0.030946858230602756, 0.16622419865310686], [0.0706451807010399, -0.02413776850152336, 0.17432389188332711], [0.03374693044266187, -0.0429244207559197, 0.23189274795502612], [0.03336975271058999, -0.037900580614306206, 0.2297442651666572], [0.03200568264999264, -0.026012912121999486, 0.22592237651404234], [0.035562896078073995, -0.03718381353057764, 0.22342472167093247], [0.036217025504127656, -0.011703035487175464, 0.24486403257444733], [0.036904014397828686, -0.02251167904032921, 0.2512595333585591]]]","[[[-0.5372464385833103, -0.053317471848143394, 0.6764959402054262, 0.5008759869576983], [-0.6534422403846757, -0.40803573724869435, 0.6281589519017395, 0.10925386379747984], [0.05485740447201348, -0.9608689688031193, 0.05699027821714853, 0.2654686387401649], [-0.4193020080139709, -0.8273859612309213, 0.29333511510225874, 0.23145800370991962], [-0.8183028598886282, -0.3619301849975704, 0.3915956366478338, 0.21456893541259478], [-0.376873754124185, -0.4578188857585629, 0.8026096964858649, -0.06469711277946678], [-0.44556907779664656, 0.20747744862892584, -0.7893301886083354, 0.3679390691043927], [0.552777704285157, -0.1533130395243743, 0.7183388859242, -0.39360026235535994], [-0.02636291376496721, -0.6402835786095714, 0.7410005976608006, -0.20064907178224875], [0.9152451347372574, 0.16449087434191587, 0.12456716830289548, -0.34605218707444924]]]",[0.04549436719935903],[0.02037858980592718],[-0.6613624560417615],1515.0,"[[143101.13216250806, 7644.813254539129, -14359.873140731248], [7644.813254539129, 180510.23962093476, 5767.256605553411], [-14359.873140731248, 5767.256605553411, 154669.69110458306]]",140.82022328933203
m1033_125,"[[-0.03854599983223155, -0.10687636710920044, 0.15403709484070344]]","[[0.12307028236133354, 0.47222871987732623, 0.8622284297520488, 0.1357051091515703]]","[[0.0, 1.1710026183756281, 1.1710026183756281, 1.1710026183756281]]",[8],"[[[0.005144344839822331, -0.10577948529033938, 0.2235523986842756], [-0.00036165197373158977, -0.09806823830345979, 0.23507094654948957], [0.008387105984315902, -0.10573676106320348, 0.23580563812048394], [0.020206238235727647, -0.05059756820116512, 0.2365125687603466], [0.019847104918711687, -0.07318829811811393, 0.22736637979737406], [0.00396530154576076, -0.08509128219347135, 0.23206477795175265], [0.02383286140020375, -0.0547789002668809, 0.2243956856112547], [0.012272213239709935, -0.04704842483361391, 0.23506530683740356]]]","[[[0.37480847818063984, -0.46555838767749413, 0.8012509718857307, -0.027764588943778618], [0.7901221573443264, 0.3129671385583864, -0.4894319238585264, -0.195486415293403], [0.9851499654492515, -0.1491209969006251, 0.08480290647542064, 0.007137290243737769], [0.9830675484453493, -0.17831365397727839, -0.042028702759021874, -0.00400301677691961], [0.9109150141700209, -0.19576941936674574, -0.3606137198909393, 0.04319625477812871], [0.3004082142615694, -0.02135718163454336, 0.9283074424469201, 0.21804602242293294], [-0.02761720882772003, 0.08269884234942902, -0.9795911036875163, -0.18110621421393613], [-0.9266514193721492, 0.15364030669899703, 0.09978390254833763, -0.32826053056260557]]]",[0.051215712595387416],[0.006185053499172963],[-1.0791318471444724],181.0,"[[1377.9155974613343, 57.67939342277801, -11.777988918720059], [57.67939342277801, 342.6192005726596, -49.936796014538466], [-11.777988918720059, -49.936796014538466, 1332.0002838256203]]",121.9246986017729
m1035_125,"[[-0.010451717071609851, -0.01958352984206279, 0.14733632296730093]]","[[4.56477802410402e-05, 2.790598406970415e-06, -0.08494464432423912, 0.9963856709673826]]","[[0.0, 0.892054703556763, 0.892054703556763, 0.892054703556763]]",[9],"[[[-0.019868224160164063, 0.07330694327974205, 0.21191969984623618], [-0.03264085288026973, 0.06690418635469596, 0.21116452859143947], [-0.0337612369189987, 0.06037971042501998, 0.22744122114024537], [-0.03246036365435103, 0.06795579094035387, 0.20169633069257883], [-0.029101635525964908, 0.05002530974623473, 0.2322964151371144], [-0.027883008929552082, 0.08378290096758917, 0.20324294481953983], [-0.010367895469285703, -0.0753962581601222, 0.17933104625148352], [-0.03119964749975022, -0.07550999704283973, 0.24827065731005418], [-0.027979136597775567, -0.07496896513701964, 0.2507942241173383]]]","[[[-0.9444143291654656, -0.10836300541968423, 0.1871716676342255, 0.24760008230689284], [0.3379529602847492, -0.6211235422051667, 0.43821090776967997, -0.5549455308991635], [0.43821090776976485, 0.5549455308992135, -0.3379529602846738, -0.6211235422051031], [0.43821090776969307, 0.5549455308991358, -0.3379529602847313, -0.621123542205192], [0.44594700137149024, -0.24743491596888245, 0.23413078950701016, -0.8277016417357601], [0.4335305283804555, 0.19806657526835986, -0.12986999353265402, -0.8694565529705638], [-0.11751242932869717, -0.8828398562422236, 0.4405485684891342, 0.11270126878457253], [-0.19389090869236886, -0.5536750509527287, 0.7942640227871911, 0.1580978038584006], [-0.05212357945901901, -0.6114622668017167, 0.7867008984808332, 0.0670725358961139]]]",[0.08332943051903872],[0.03525633909218322],[-0.6158781139826346],2427.0,"[[125040.91521228406, 11885.329994403899, 1324.9156630892387], [11885.329994403899, 140794.62327820042, 7602.813175273349], [1324.9156630892387, 7602.813175273349, 134891.09259057732]]",121.76483033907411
m1041_125,"[[0.035509220079567236, 0.004238932410725673, 0.24279685317584154]]","[[0.03438632371816106, -0.05303176797455267, -0.9678902429320653, 0.2432975338213495]]","[[1.4280565277880997, 0.9017404319894318, 1.164865431989432, 0.8904904319894318]]",[5],"[[[0.039882830903828624, -0.007485792590238595, 0.2442196630748533], [-0.042632565089575254, -0.043073503138461096, 0.3259782514144606], [-0.043398270732701034, -0.03764420787383334, 0.33168616158532277], [0.07574098274561365, 0.025277182063028335, 0.34452708310997415], [-0.003146605249462942, 0.06394102530947907, 0.3342684509342158]]]","[[[-0.5123644182105259, -0.8564390902325999, 0.013184320071994686, -0.06181392543420434], [-0.2963537952824741, -0.4712088923053728, 0.756165672223208, 0.344020470299721], [-0.29635379528288086, -0.47120889230573604, 0.7561656722228465, 0.3440204702996676], [0.4222371220182237, -0.236202918858112, 0.5248444917217718, -0.7003301031813433], [-0.5782776253810921, -0.16292152653685896, 0.18393663423390352, 0.7779581471783737]]]",[0.04382361356605708],[0.002220734264963513],[-0.6709701485602134],5739.0,"[[6038186.603378184, -14272.171414068185, -30822.378957692104], [-14272.171414068185, 7137918.599578635, -8475.270365005703], [-30822.378957692104, -8475.270365005703, 6094195.876296953]]",252.31108113406285
